,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
805,Chhattisgarh,korba,2010,kharif,Rice,109207.0,130510.0,0.0,101991.0,110250.0,1093.1,822.6
827,Chhattisgarh,mahasamund,2002,kharif,Rice,242444.0,108462.0,0.0,290201.0,114090.0,1032.46,1187.851
830,Chhattisgarh,mahasamund,2005,kharif,Rice,250057.0,247754.0,0.0,319432.0,387427.0,1379.0,1222.8
831,Chhattisgarh,mahasamund,2006,kharif,Rice,256752.0,331104.0,0.0,247754.0,319432.0,1383.9,1379.0
832,Chhattisgarh,mahasamund,2007,kharif,Rice,241743.0,331756.0,0.0,331104.0,247754.0,1174.6,1383.9
833,Chhattisgarh,mahasamund,2008,kharif,Rice,260661.0,292312.0,0.0,331756.0,331104.0,944.9,1174.6
834,Chhattisgarh,mahasamund,2009,kharif,Rice,262841.0,292973.0,0.0,292312.0,331756.0,1190.1,944.9
835,Chhattisgarh,mahasamund,2010,kharif,Rice,266738.0,486688.0,0.0,292973.0,292312.0,1130.0,1190.1
855,Chhattisgarh,raigarh,2002,kharif,Rice,239372.0,168485.0,1.0,305358.0,116886.0,1055.9,1163.2830000000001
858,Chhattisgarh,raigarh,2005,kharif,Rice,240317.0,278707.0,1.0,250401.0,322350.0,1246.8,1049.8
859,Chhattisgarh,raigarh,2006,kharif,Rice,240616.0,307132.0,1.0,278707.0,250401.0,1089.1,1246.8
860,Chhattisgarh,raigarh,2007,kharif,Rice,241665.0,312306.0,1.0,307132.0,278707.0,1291.8,1089.1
861,Chhattisgarh,raigarh,2008,kharif,Rice,242366.0,296840.0,1.0,312306.0,307132.0,1513.9,1291.8
862,Chhattisgarh,raigarh,2009,kharif,Rice,240135.0,277370.0,1.0,296840.0,312306.0,978.2,1513.9
863,Chhattisgarh,raigarh,2010,kharif,Rice,240388.0,336652.0,1.0,277370.0,296840.0,988.3,978.2
870,Chhattisgarh,raipur,2002,kharif,Rice,516328.0,386465.0,0.0,616749.0,208356.0,1051.585,1217.079
