,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value,X1,X2
195,Himachal Pradesh,kinnaur,2010,kharif,Rice,15,25.0,1.666666667,24.0,20.0
198,Himachal Pradesh,kullu,2004,kharif,Rice,1546,2571.0,1.663001294,2046.0,2776.0
199,Himachal Pradesh,kullu,2005,kharif,Rice,1513,1449.0,0.957699934,2571.0,2046.0
200,Himachal Pradesh,kullu,2006,kharif,Rice,1478,1928.0,1.304465494,1449.0,2571.0
201,Himachal Pradesh,kullu,2007,kharif,Rice,1469,1984.0,1.350578625,1928.0,1449.0
202,Himachal Pradesh,kullu,2008,kharif,Rice,1439,1972.0,1.370396108,1984.0,1928.0
203,Himachal Pradesh,kullu,2010,kharif,Rice,1516,1822.0,1.201846966,1972.0,1984.0
206,Himachal Pradesh,mandi,2004,kharif,Rice,20092,25275.0,1.257963369,28981.0,22461.0
207,Himachal Pradesh,mandi,2005,kharif,Rice,20276,29167.0,1.438498718,25275.0,28981.0
208,Himachal Pradesh,mandi,2006,kharif,Rice,19566,27068.0,1.383420219,29167.0,25275.0
209,Himachal Pradesh,mandi,2007,kharif,Rice,19469,25002.0,1.284195388,27068.0,29167.0
210,Himachal Pradesh,mandi,2008,kharif,Rice,20171,27410.0,1.358881563,25002.0,27068.0
211,Himachal Pradesh,mandi,2010,kharif,Rice,19481,30528.0,1.567065346,27410.0,25002.0
214,Himachal Pradesh,shimla,2004,kharif,Rice,1981,2122.0,1.071176174,2207.0,2636.0
215,Himachal Pradesh,shimla,2005,kharif,Rice,1810,1966.0,1.086187845,2122.0,2207.0
216,Himachal Pradesh,shimla,2006,kharif,Rice,1651,1887.0,1.142943671,1966.0,2122.0
217,Himachal Pradesh,shimla,2007,kharif,Rice,1640,1602.0,0.976829268,1887.0,1966.0
218,Himachal Pradesh,shimla,2008,kharif,Rice,1214,1209.0,0.995881384,1602.0,1887.0
219,Himachal Pradesh,shimla,2010,kharif,Rice,1359,1464.0,1.077262693,1209.0,1602.0
222,Himachal Pradesh,sirmaur,2004,kharif,Rice,5509,7881.0,1.430568161,8729.0,5278.0
223,Himachal Pradesh,sirmaur,2005,kharif,Rice,5435,7223.0,1.328978841,7881.0,8729.0
224,Himachal Pradesh,sirmaur,2006,kharif,Rice,5328,12012.0,2.254504505,7223.0,7881.0
225,Himachal Pradesh,sirmaur,2007,kharif,Rice,5634,12805.0,2.272807952,12012.0,7223.0
226,Himachal Pradesh,sirmaur,2008,kharif,Rice,5730,7778.0,1.357417103,12805.0,12012.0
227,Himachal Pradesh,sirmaur,2010,kharif,Rice,6115,13833.0,2.262142273,7778.0,12805.0
230,Himachal Pradesh,solan,2004,kharif,Rice,4742,10401.0,2.193378321,7866.0,5377.0
231,Himachal Pradesh,solan,2005,kharif,Rice,4721,8283.0,1.754501165,10401.0,7866.0
232,Himachal Pradesh,solan,2006,kharif,Rice,4634,10968.0,2.36685369,8283.0,10401.0
233,Himachal Pradesh,solan,2007,kharif,Rice,4351,10126.0,2.327281085,10968.0,8283.0
234,Himachal Pradesh,solan,2008,kharif,Rice,4260,10565.0,2.480046948,10126.0,10968.0
235,Himachal Pradesh,solan,2010,kharif,Rice,2094,5166.0,2.467048711,10565.0,10126.0
238,Himachal Pradesh,una,2004,kharif,Rice,2021,3572.0,1.76744186,4633.0,4205.0
239,Himachal Pradesh,una,2005,kharif,Rice,2019,3311.0,1.639920753,3572.0,4633.0
240,Himachal Pradesh,una,2006,kharif,Rice,1976,4464.0,2.259109312,3311.0,3572.0
